Item ID,Short Name,Assessment Instrument,Assessment Instrument Version,HIT Standard Name,HIT Standard Version,Item HIT Code,Item HIT Text,Item Subsets,Response HIT Code,Assessment Response Codes,Response HIT Text
1,{Facility/provider} information,IRF-PAI,1.5,LOINC,2.63,85396-0,IRF-PAI - Facility information [CMS Assessment],IA|ID,,,
10,Marital status,IRF-PAI,1.5,LOINC,2.63,45404-1,Marital status [CMS Assessment],IA|ID,LA4288-2|LA47-6|LA48-4|LA49-2|LA51-8,4|1|2|3|5,Separated|Never married|Married|Widowed|Divorced
11,ZIP code of {patient's/resident's} pre-hospital residence,IRF-PAI,1.5,LOINC,2.63,52539-4,Prior zip code [Location],IA|ID,,,
12,Admission date,IRF-PAI,1.5,LOINC,2.63,52455-3,Admission date,IA,,,
13,Assessment reference date,IRF-PAI,1.5,LOINC,2.63,52456-1,Assessment reference date,IA|ID,,,
14,Admission class,IRF-PAI,1.5,LOINC,2.63,85397-8,Inpatient rehabilitation facility admission [CMS Assessment],IA,LA18068-9|LA27331-0|LA27332-8|LA27335-1|LA4395-5,04|01|02|05|03,Unplanned discharge|Initial rehab|Evaluation|Continuing rehabilitation|Readmission
15A,Admit from,IRF-PAI,1.5,LOINC,2.63,85398-6,Admitted from Facility [CMS Assessment],IA,LA10000-0|LA10883-9|LA22835-5|LA27336-9|LA27337-7|LA27338-5|LA27339-3|LA27340-1|LA27341-9|LA27342-7|LA27344-3|LA27346-8|LA27347-6|LA27349-2,63|61|66|01|02|03|04|06|50|51|62|64|65|99,"Long-term care hospital (LTCH)|Swing bed|Critical Access Hospital|Home (private home/apt., board/care, assisted living, group home, transitional living)|Short-term General Hospital|Skilled nursing facility (SNF)|Intermediate care|Home - under care of organized home health service organization|Hospice (home)|Hospice (institutional facility)|Another Inpatient Rehabilitation Facility|Medicaid Nursing Facility|Inpatient Psychiatric Facility|Not listed"
16A,Pre-hospital living setting,IRF-PAI,1.5,LOINC,2.63,85399-4,Prior residence [CMS Assessment],IA,LA10000-0|LA10883-9|LA22835-5|LA27336-9|LA27337-7|LA27338-5|LA27339-3|LA27340-1|LA27341-9|LA27342-7|LA27344-3|LA27346-8|LA27347-6|LA27349-2,63|61|66|01|02|03|04|06|50|51|62|64|65|99,"Long-term care hospital (LTCH)|Swing bed|Critical Access Hospital|Home (private home/apt., board/care, assisted living, group home, transitional living)|Short-term General Hospital|Skilled nursing facility (SNF)|Intermediate care|Home - under care of organized home health service organization|Hospice (home)|Hospice (institutional facility)|Another Inpatient Rehabilitation Facility|Medicaid Nursing Facility|Inpatient Psychiatric Facility|Not listed"
17,Pre-hospital living with,IRF-PAI,1.5,LOINC,2.63,85400-0,Prior living arrangement [CMS Assessment],IA,LA27350-0|LA27351-8|LA27352-6|LA27353-4|LA46-8,01|02|03|04|05,Alone|Family/Relatives|Friends|Attendant|Other
1A,{Facility/provider} name,IRF-PAI,1.5,LOINC,2.63,76696-4,Name [Identifier] Facility,IA|ID,,,
1B,{Facility/provider} CMS Certification Number (CCN),IRF-PAI,1.5,LOINC,2.63,69417-4,CMS certification number (CCN) for Facility,IA|ID,,,
2,Medicare/railroad insurance number,IRF-PAI,1.5,LOINC,2.63,45397-7,Medicare or comparable number,IA,,,
20,Payment source,IRF-PAI,1.5,LOINC,2.63,85813-4,Payment source [CMS Assessment],IA|ID,,,
20A,Primary source,IRF-PAI,1.5,LOINC,2.63,75618-9,Comorbid condition,IA|ID,LA27349-2|LA27354-2|LA27355-9,99|02|51,Not listed|Medicare Fee For Service|Medicare-Medicare Advantage
20B,Secondary source,IRF-PAI,1.5,LOINC,2.63,75618-9,Comorbid condition,IA|ID,LA27349-2|LA27354-2|LA27355-9,99|02|51,Not listed|Medicare Fee For Service|Medicare-Medicare Advantage
