Item ID,Short Name,Assessment Instrument,Assessment Instrument Version,HIT Standard Name,HIT Standard Version,Item HIT Code,Item HIT Text,Item Subsets,Response HIT Code,Assessment Response Codes,Response HIT Text
A0050,Type of transaction,LCDS,4,LOINC,2.63,58198-3,Type of record [CMS Assessment],LA|LE|LP|LU,LA12664-1|LA12665-8|LA27573-7,2|3|1,Modify existing record|Inactivate existing record|Add new assessment/record
A0100,{Facility/provider} numbers,LCDS,4,LOINC,2.63,54581-4,Facility provider numbers,LA|LE|LP|LU,,,
A0100A,{Facility/provider} National Provider Identifier (NPI),LCDS,4,LOINC,2.63,76468-8,Organization NPI,LA|LE|LP|LU,,,
A0100B,{Facility/provider} CMS Certification Number (CCN),LCDS,4,LOINC,2.63,69417-4,CMS certification number (CCN) for Facility,LA|LE|LP|LU,,,
A0100C,State {facility/provider} Medicaid number,LCDS,4,LOINC,2.63,45398-5,State provider number for Facility,LA|LE|LP|LU,,,
A0200,Type of {facility/provider},LCDS,4,LOINC,2.63,85632-8,Facility type [CMS Assessment],LA|LE|LP|LU,LA28448-1,3,Long-term care hospital 
A0210,Assessment reference date,LCDS,4,LOINC,2.63,54593-9,Assessment reference date - observation end date [CMS Assessment],LA|LE|LP|LU,,,
A0220,Admission date,LCDS,4,LOINC,2.63,52455-3,Admission date,LA|LE|LP|LU,,,
A0250,Reason for assessment (record),LCDS,4,LOINC,2.63,52454-6,Reason for assessment,LA|LE|LP|LU,LA10325-1|LA10922-5|LA18067-1|LA18068-9,12|01|10|11,Expired|Admission|Planned discharge|Unplanned discharge
A0270,Discharge date,LCDS,4,LOINC,2.63,52525-3,Discharge date,LE|LP|LU,,,
A0500,Legal name of {patient/resident},LCDS,4,LOINC,2.63,54503-8,Legal name of patient,LA|LE|LP|LU,,,
A0500A,{Patient/resident} first name,LCDS,4,LOINC,2.63,45392-8,First name,LA|LE|LP|LU,,,
A0500B,{Patient/resident} middle initial,LCDS,4,LOINC,2.63,45393-6,Middle initial,LA|LE|LP|LU,,,
A0500C,{Patient/resident} last name,LCDS,4,LOINC,2.63,45394-4,Last name,LA|LE|LP|LU,,,
A0500D,{Patient/resident} name suffix,LCDS,4,LOINC,2.63,45395-1,Name suffix,LA|LE|LP|LU,,,
A0600,Social security and Medicare numbers,LCDS,4,LOINC,2.63,45966-9,Social security and Medicare numbers,LA|LE|LP|LU,,,
A0600A,Social security number,LCDS,4,LOINC,2.63,45396-9,Social Security number [Identifier],LA|LE|LP|LU,,,
A0600B,Medicare/railroad insurance number,LCDS,4,LOINC,2.63,45397-7,Medicare or comparable number,LA|LE|LP|LU,,,
A0700,Medicaid number,LCDS,4,LOINC,2.63,45400-9,Medicaid number,LA|LE|LP|LU,,,
A0800,Gender,LCDS,4,LOINC,2.63,46098-0,Sex,LA|LE|LP|LU,LA2-8|LA3-6,1|2,Male|Female
A0900,Birth date,LCDS,4,LOINC,2.63,21112-8,Birth date,LA|LE|LP|LU,,,
A1000,Race/ethnicity. Check all that apply,LCDS,4,LOINC,2.63,59362-4,Race or ethnicity OMB.1997,LA|LE|LP|LU,LA10610-6|LA10611-4|LA4457-3|LA6155-1|LA6156-9|LA6214-6,C|E|F|A|B|D,Black or African American|Native Hawaiian or Other Pacific Islander|White|American Indian or Alaska Native|Asian|Hispanic or Latino
A1100,Language,LCDS,4,LOINC,2.63,54505-3,Language,LA,,,
A1100A,Does  {patient/resident} need or want an interpreter,LCDS,4,LOINC,2.63,54588-9,Interpreter needed CMS Assessment,LA,LA11137-9|LA32-8|LA33-6,9|0|1,Unable to determine|No|Yes
A1100B,Preferred language,LCDS,4,LOINC,2.63,54899-0,Language.preferred,LA,,,
A1200,Marital status,LCDS,4,LOINC,2.63,45404-1,Marital status [CMS Assessment],LA,LA4288-2|LA47-6|LA48-4|LA49-2|LA51-8,4|1|2|3|5,Separated|Never married|Married|Widowed|Divorced
A1400,Payer information. Check all that apply,LCDS,4,LOINC,2.63,52556-8,Payment sources,LA|LE|LP|LU,LA10049-7|LA10061-2|LA18995-3|LA27554-7|LA27556-2|LA27561-2|LA4489-6|LA46-8|LA6257-5|LA6259-1|LA6369-8|LA6398-7|LA6452-2,G|H|K|B|D|I|X|Y|C|A|J|F|E,"Other government (e.g., TRICARE, VA, etc.)|Private insurance/Medigap|No payor source|Medicare (managed care/Part C/Medicare Advantage)|Medicaid (managed care)|Private managed care|Unknown|Other|Medicaid (traditional fee-for-service)|Medicare (traditional fee-for-service)|Self-pay|Title programs (e.g., Title III, V, or XX)|Workers' compensation"
A1802,Admitted from,LCDS,4,LOINC,2.63,85398-6,Admitted from Facility [CMS Assessment],LA,LA10000-0|LA10065-3|LA10078-6|LA11501-6|LA11504-0|LA18066-3|LA27338-5|LA27548-9|LA28224-6|LA6216-1|LA9-3,06|08|05|01|04|02|03|07|09|10|99,"Long-term care hospital (LTCH)|Psychiatric hospital or unit|Short-stay acute hospital (IPPS)|Community residential setting (e.g., private home, assisted living, group home, adult foster care)|Hospital emergency department|Long-term care facility|Skilled nursing facility (SNF)|Inpatient rehabilitation facility or unit (IRF)|Intellectually disabled/developmentally disabled (ID/DD) facility|Hospice|None of the above"
A2110,Discharge location,LCDS,4,LOINC,2.63,85416-6,Discharge location [CMS Assessment],LP|LU,LA10000-0|LA10065-3|LA10078-6|LA11501-6|LA11504-0|LA18066-3|LA27338-5|LA27548-9|LA28224-6|LA46-8|LA6216-1|LA9965-0,06|08|05|01|04|02|03|07|09|98|10|12,"Long-term care hospital (LTCH)|Psychiatric hospital or unit|Short-stay acute hospital (IPPS)|Community residential setting (e.g., private home, assisted living, group home, adult foster care)|Hospital emergency department|Long-term care facility|Skilled nursing facility (SNF)|Inpatient rehabilitation facility or unit (IRF)|Intellectually disabled/developmentally disabled (ID/DD) facility|Other|Hospice|Discharged against medical advice"
B0100,Comatose,LCDS,4,LOINC,2.63,85629-4,Comatose during 3 day assessment period [CMS Assessment],LA|LP,LA32-8|LA33-6,0|1,No|Yes
BB0700,Expression of ideas and wants,LCDS,4,LOINC,2.63,83250-1,Expression of ideas and wants during 3 day assessment period [CMS Assessment],LA|LP,LA11713-7|LA9966-8|LA9967-6|LA9972-6,1|3|4|2,"Rarely/Never expresses self or speech is very difficult to understand|Exhibits some difficulty with expressing needs and ideas (e.g., some words or finishing thoughts) or speech is not clear|Expresses complex messages without difficulty and with speech that is clear and easy to understand|Frequently exhibits difficulty with expressing needs and ideas"
BB0800,Understanding verbal content,LCDS,4,LOINC,2.63,87503-9,Understanding verbal and non-verbal content during 3 day assessment period [CMS Assessment],LA|LP,LA10110-7|LA11705-3|LA11706-1|LA81-5,4|3|2|1,"Understands clear comprehension without cues or repetitions|Usually understands: understands most conversations, but misses some part/intent of message.  Requires cues at times to understand.|Sometimes understands: Understands only basic conversations or simple, direct phrases.  Frequently requires cues to understand.|Rarely/never understands"
C1610,Signs and symptoms of delirium,LCDS,4,LOINC,2.63,85649-2,Signs and symptoms of delirium (from CAM) [CMS Assessment],LA|LP|LU,,,
C1610A,CAM: Acute onset,LCDS,4,LOINC,2.63,85634-4,Is there evidence of an acute change in mental status from the patient's baseline during 3 day assessment period [CMS Assessment],LA|LP|LU,LA32-8|LA33-6,0|1,No|Yes
C1610B,CAM: Fluctuating course,LCDS,4,LOINC,2.63,85630-2,"Did the (abnormal) behavior fluctuate during the day, that is, tend to come and go or increase and decrease in severity during 3 day assessment period [CMS Assessment]",LA|LP|LU,LA32-8|LA33-6,0|1,No|Yes
C1610C,CAM: Inattention,LCDS,4,LOINC,2.63,85631-0,"Did the patient have difficulty focusing attention, for example, being easily distractible or having difficulty keeping track of what was being said during 3 day assessment period [CMS Assessment]",LA|LP|LU,LA32-8|LA33-6,0|1,No|Yes
