Item ID,Short Name,Assessment Instrument,Assessment Instrument Version,HIT Standard Name,HIT Standard Version,Item HIT Code,Item HIT Text,Item Subsets,Response HIT Code,Assessment Response Codes,Response HIT Text
A0050,Type of transaction,MDS3.0,1.16,LOINC,2.64,58198-3,Type of record [CMS Assessment],NC|ND|NO|NOD|NP|NPE|NQ|NS|NSD|NT|SD|SO|SOD|SP|SS|SSD|ST,LA12663-3|LA12664-1|LA12665-8,1|2|3,Add new record|Modify existing record|Inactivate existing record
A0100,{Facility/provider} numbers,MDS3.0,1.16,LOINC,2.64,54581-4,Facility provider #s,NC|ND|NO|NOD|NP|NPE|NQ|NS|NSD|NT|SD|SO|SOD|SP|SS|SSD|ST,,,
A0100A,{Facility/provider} National Provider Identifier (NPI),MDS3.0,1.16,LOINC,2.64,76468-8,Org NPI,NC|ND|NO|NOD|NP|NPE|NQ|NS|NSD|NT|SD|SO|SOD|SP|SS|SSD|ST,,,
A0100B,{Facility/provider} CMS Certification Number (CCN),MDS3.0,1.16,LOINC,2.64,69417-4,CMS certification # Facility,NC|ND|NO|NOD|NP|NPE|NQ|NS|NSD|NT|SD|SO|SOD|SP|SS|SSD|ST,,,
A0100C,State {facility/provider} Medicaid number,MDS3.0,1.16,LOINC,2.64,45398-5,State provider # Facility,NC|ND|NO|NOD|NP|NPE|NQ|NS|NSD|NT|SD|SO|SOD|SP|SS|SSD|ST,,,
A0200,Type of {facility/provider},MDS3.0,1.16,LOINC,2.64,85632-8,Facility type [CMS Assessment],NC|ND|NO|NOD|NP|NPE|NQ|NS|NSD|NT|SD|SO|SOD|SP|SS|SSD|ST,LA10882-1|LA10883-9,1|2,Nursing home (SNF/NF)|Swing bed
A0310,Type of assessment,MDS3.0,1.16,LOINC,2.64,86524-6,Type of assessment [CMS Assessment],NC|ND|NO|NOD|NP|NPE|NQ|NS|NSD|NT|SD|SO|SOD|SP|SS|SSD|ST,,,
A0310A,Type of assessment: OBRA,MDS3.0,1.16,LOINC,2.64,54583-0,Federal OBRA reason for assessment [CMS Assessment],NC|ND|NO|NOD|NP|NPE|NQ|NS|NSD|NT|SD|SO|SOD|SP|SS|SSD|ST,LA10-4|LA10888-8|LA10889-6|LA12-0|LA13-8|LA15-3|LA9-3,01|05|06|03|04|02|99,Admission assessment (required by day 14)|Significant correction to prior comprehensive assessment|Significant correction to prior quarterly assessment|Annual assessment|Significant change in status assessment|Quarterly review assessment|None of the above
A0310B,Type of assessment: PPS,MDS3.0,1.16,LOINC,2.64,54584-8,PPS Assessment [CMS Assessment],NC|ND|NO|NOD|NP|NPE|NQ|NS|NSD|NT|SD|SO|SOD|SP|SS|SSD|ST,LA10894-6|LA10895-3|LA10896-1|LA10897-9|LA10898-7|LA10900-1|LA9-3,01|02|03|04|05|07|99,"5-day scheduled assessment|14-day scheduled assessment|30-day scheduled assessment|60-day scheduled assessment|90-day scheduled assessment|Unscheduled assessment used for PPS (OMRA, significant or clinical change, or significant correction assessment)|None of the above"
A0310C,Type of assessment: OMRA,MDS3.0,1.16,LOINC,2.64,54585-5,PPS Other Medicare Required Assessment - OMRA [CMS Assessment],NC|ND|NO|NOD|NP|NPE|NQ|NS|NSD|NT|SD|SO|SOD|SP|SS|SSD|ST,LA12624-5|LA12625-2|LA12626-0|LA18612-4|LA32-8,1|2|3|4|0,Start of therapy assessment|End of therapy assessment|Both Start and End of therapy assessment|Change of therapy assessment|No
A0310D,Swing bed clinical change assessment,MDS3.0,1.16,LOINC,2.64,58107-4,Swing bed clinical change assessment [CMS Assessment],NC|ND|NO|NOD|NP|NPE|NQ|NS|NSD|NT|SD|SO|SOD|SP|SS|SSD|ST,LA32-8|LA33-6,0|1,No|Yes
