Item ID,Short Name,Assessment Instrument,Assessment Instrument Version,HIT Standard Name,HIT Standard Version,Item HIT Code,Item HIT Text,Item Subsets,Response HIT Code,Assessment Response Codes,Response HIT Text
GG0170C,Mobility,OASIS,C2-012017,LOINC,2.63,85925-6,OASIS C2 - Mobility [CMS Assessment],,,,
GG0170C_1,Functional mobility (admission performance) - lying to sit on side,OASIS,C2-012017,LOINC,2.63,85926-4,Lying to sitting on side of bed - functional ability [CMS Assessment],01|03,LA10055-4|LA10058-8|LA10073-7|LA11759-0|LA11921-6|LA26735-3|LA27665-1|LA4720-4|LA9983-3,03|07|05|02|04|88|01|09|06,"Partial/moderate assistance - Helper does less than half the effort. Helper lifts, holds or supports trunk or limbs, but provides less than half the effort.|Patient refused|Setup or clean-up assistance - Helper sets up or cleans up; patient completes activity. Helper assists only prior to or following the activity.|Substantial/maximal assistance - Helper does more than half the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Supervision or touching assistance - Helper provides verbal cues or touching/steadying assistance as patient completes activity. Assistance may be provided throughout the activity or intermittently.|Not attempted due to medical condition or safety concerns|Dependent - Helper does all of the effort. Patient does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the patient to complete the activity.|Not applicable|Independent - Patient completes the activity by him/herself with no assistance from a helper."
GG0170C_2,Functional mobility (discharge goal) - lying to sitting on side,OASIS,C2-012017,LOINC,2.63,85927-2,Lying to sitting on side of bed - functional goal [CMS Assessment],01|03,LA10073-7|LA11539-6|LA11757-4|LA11758-2|LA11759-0|LA27665-1,05|06|04|03|02|01,"Setup or clean-up assistance - Helper sets up or cleans up; patient completes activity. Helper assists only prior to or following the activity.|Independent - Patient completes the activity by him/herself with no assistance from a helper.|Supervision or touching assistance - Helper provides verbal cues or touching/steadying assistance as patient completes activity. Assistance may be provided throughout the activity or intermittently.|Partial/moderate assistance - Helper does less than half the effort. Helper lifts, holds or supports truck or limbs, but provides less than half the effort.|Substantial/maximal assistance - Helper does more than half the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Dependent - Helper does all of the effort. Patient does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the patient to complete the activity."
M0010,{Facility/provider} CMS Certification Number (CCN),OASIS,C2-012017,LOINC,2.63,69417-4,CMS certification number (CCN) for Facility,01|03|04|05|06|07|08|09,,,
M0014,Branch state,OASIS,C2-012017,LOINC,2.63,46494-1,State location of agency branch [CMS Assessment],01|03|04|05|06|07|08|09,,,
M0016,Branch ID,OASIS,C2-012017,LOINC,2.63,46495-8,Branch number Agency [CMS Assessment],01|03|04|05|06|07|08|09,,,
M0018,{Facility/provider} National Provider Identifier (NPI),OASIS,C2-012017,LOINC,2.63,68468-8,Attending physician NPI Provider,01|03|04|05|06|07|08|09,,,
M0020,{Patient/resident} ID number,OASIS,C2-012017,LOINC,2.63,46496-6,Agency patient number [CMS Assessment],01|03|04|05|06|07|08|09,,,
M0030,Start of care date,OASIS,C2-012017,LOINC,2.63,46497-4,Start of care date [CMS Assessment],01|03|04|05|06|07|08|09,,,
M0032,Resumption of care date,OASIS,C2-012017,LOINC,2.63,46498-2,Resumption of care date [CMS Assessment],01|03|04|05|06|07|08|09,,,
M0040,Legal name of {patient/resident},OASIS,C2-012017,LOINC,2.63,54503-8,Legal name of patient,01|03|04|05|06|07|08|09,,,
M0040_A,{Patient/resident} first name,OASIS,C2-012017,LOINC,2.63,45392-8,First name,01|03|04|05|06|07|08|09,,,
M0040_B,{Patient/resident} middle initial,OASIS,C2-012017,LOINC,2.63,45393-6,Middle initial,01|03|04|05|06|07|08|09,,,
M0040_C,{Patient/resident} last name,OASIS,C2-012017,LOINC,2.63,45394-4,Last name,01|03|04|05|06|07|08|09,,,
M0040_D,{Patient/resident} name suffix,OASIS,C2-012017,LOINC,2.63,45395-1,Name suffix,01|03|04|05|06|07|08|09,,,
M0050,{Patient/resident} state of residence,OASIS,C2-012017,LOINC,2.63,46499-0,State of residence,01|03|04|05|06|07|08|09,,,
M0060,{Patient/resident} zip code,OASIS,C2-012017,LOINC,2.63,45401-7,ZIP Code,01|03|04|05|06|07|08|09,,,
M0063,Medicare/railroad insurance number,OASIS,C2-012017,LOINC,2.63,45397-7,Medicare or comparable number,01|03|04|05|06|07|08|09,,,
M0064,Social security number,OASIS,C2-012017,LOINC,2.63,45396-9,Social Security number [Identifier],01|03|04|05|06|07|08|09,,,
M0065,Medicaid number,OASIS,C2-012017,LOINC,2.63,45400-9,Medicaid number,01|03|04|05|06|07|08|09,,,
M0066,Birth date,OASIS,C2-012017,LOINC,2.63,21112-8,Birth Date,01|03|04|05|06|07|08|09,,,
M0069,Gender,OASIS,C2-012017,LOINC,2.63,46098-0,Sex,01|03|04|05|06|07|08|09,LA2-8|LA3-6,1|2,Male|Female
